,readable,stripped,wikipedia_article_1,wikipedia_article_2,wikipedia_article_3,wikipedia_article_4,all
0,"0. One of the first examples of an expert system was MYCIN, an application to perform medical diagnosis.",one first example expert system mycin application perform medical diagnosis,True,False,False,False,True
1,"1. In the MYCIN example, the domain experts were medical doctors and the knowledge represented was their expertise in diagnosis.",mycin example domain expert medical doctor knowledge represent expertise diagnosis,True,False,False,False,True
2,2. Expert systems were first developed in artificial intelligence laboratories as an attempt to understand complex human decision making.,expert system first develop artificial intelligence laboratory attempt understand complex human decision make,True,False,False,False,True
3,3. The Stanford heuristic programming projects led by Edward Feigenbaum was one of the leaders in defining and developing the first expert systems.,stanford heuristic programming project lead edward feigenbaum one leader define develop first expert system,True,False,False,False,True
4,4. In the earliest days of expert systems there was little or no formal process for the creation of the software.,early day expert system little formal process creation software,True,False,False,False,True
5,"5. Researchers just sat down with domain experts and started programming, often developing the required tools (e.g.",researcher sit domain expert start program often develop require tool,True,False,False,False,True
6,6. As expert systems moved from academic prototypes to deployed business systems it was realized that a methodology was required to bring predictability and control to the process of building the software.,expert system move academic prototype deploy business system realize methodology require bring predictability control process build software,True,False,False,False,True
7,"7. There were essentially two approaches that were attempted: Use conventional software development methodologies, and develop special methodologies tuned to the requirements of building expert systems.",essentially two approach attempt use conventional software development methodology develop special methodology tune requirement build expert system,True,False,False,False,True
8,8. Many of the early expert systems were developed by large consulting and system integration firms such as Andersen Consulting.,many early expert system develop large consulting system integration firm andersen consulting,True,False,False,False,True
9,9. One trend in early expert systems development was to simply apply these waterfall methods to expert systems development.,one trend early expert system development simply apply waterfall method expert system development,True,False,False,False,True
10,10. Another issue with using conventional methods to develop expert systems was that due to the unprecedented nature of expert systems they were one of the first applications to adopt rapid application development methods that feature iteration and prototyping as well as or instead of detailed analysis and design.,another issue use conventional method develop expert system due unprecedented nature expert system one first application adopt rapid application development method feature iteration prototyping well instead detailed analysis design,True,False,False,False,True
11,11. The final issue with using conventional methods to develop expert systems was the need for knowledge acquisition.,final issue use conventional method develop expert system need knowledge acquisition,True,False,False,False,True
12,12. Knowledge acquisition refers to the process of gathering expert knowledge and capturing it in the form of rules and ontologies.,knowledge acquisition refer process gather expert knowledge capture form rule ontology,True,False,False,False,True
13,13. These issues led to the second approach to knowledge engineering: development of custom methodologies specifically designed to build expert systems.,issue lead second approach knowledge engineering development custom methodology specifically design build expert system,True,False,False,False,True
14,14. One of the first and most popular of such methodologies custom designed for expert systems was the Knowledge Acquisition and Documentation Structuring (KADS) methodology developed in Europe.,one first popular methodology custom design expert system knowledge acquisition documentation structure kad methodology develop europe,True,False,False,False,True
15,"15. In artificial intelligence, an expert system is a computer system emulating the decision-making ability of a human expert.",artificial intelligence expert system computer system emulate decision make ability human expert,False,True,False,False,True
16,"16. Expert systems are designed to solve complex problems by reasoning through bodies of knowledge, represented mainly as if then rules rather than through conventional procedural code.",expert system design solve complex problem reason body knowledge represent mainly rule rather conventional procedural code,False,True,False,False,True
17,17. The first expert systems were created in the 1970s and then proliferated in the 1980s.,first expert system create proliferate,False,True,False,False,True
18,18. Expert systems were among the first truly successful forms of artificial intelligence (AI) software.,expert system among first truly successful form artificial intelligence ai software,False,True,False,False,True
19,19. An expert system is divided into two subsystems: the inference engine and the knowledge base.,expert system divide two subsystem inference engine knowledge base,False,True,False,False,True
