,chunks
0,able
1,access
2,advise
3,afford
4,agency
5,agribusinesse
6,almost
7,already
8,always
9,ancar
10,animal
11,another
12,appropriate
13,april
14,area
15,around
16,availability
17,b
18,back
19,bad
20,bank
21,base
22,beginning
23,believe
24,benefit
25,big
26,billon
27,bulletin
28,buy
29,c
30,canning
31,capable
32,care
33,case
34,cash
35,catch
36,certain
37,chain
38,change
39,check
40,cheryl
41,choose
42,claim
43,clear
44,cold
45,come
46,coming
47,commercialization
48,compare
49,compete
50,competition
51,complain
52,condition
53,confirm
54,constraint
55,consumer
56,consumption
57,contract
58,contrarian
59,cooperative
60,correspond
61,cotton
62,could
63,create
64,credit
65,crop
66,cropping
67,cut
68,dagana
69,dakar
70,damage
71,dap
72,datum
73,day
74,december
75,demand
76,department
77,depend
78,determine
79,different
80,difficult
81,direct
82,divide
83,domestic
84,dr
85,drop
86,dry
87,early
88,earn
89,easy
90,economically
91,effort
92,either
93,else
94,emphasize
95,end
96,enough
97,even
98,everyone
99,everywhere
100,exist
101,expect
102,expectation
103,expensive
104,export
105,extend
106,extension
107,facilitate
108,fail
109,fall
110,farm
111,farmer
112,feb
113,february
114,fertilizer
115,field
116,finally
117,firm
118,fishery
119,five
120,flood
121,focus
122,follow
123,food
124,forestry
125,formula
126,france
127,full
128,furrow
129,get
130,glut
131,go
132,good
133,government
134,grow
135,grower
136,growth
137,guess
138,half
139,handle
140,happen
141,harvest
142,head
143,health
144,hectare
145,high
146,hike
147,holiday
148,holland
149,horticulture
150,hot
151,hunger
152,hypothetical
153,imitative
154,impact
155,import
156,importer
157,incentivize
158,include
159,increase
160,industrial
161,industry
162,influence
163,information
164,infrastructure
165,input
166,instead
167,interested
168,international
169,internationally
170,investment
171,january
172,july
173,june
174,kaolack
175,keep
176,kind
177,know
178,labor
179,lady
180,last
181,late
182,law
183,lead
184,leader
185,leave
186,less
187,let
188,life
189,like
190,little
191,livestock
192,loan
193,local
194,locally
195,look
196,lot
197,louis
198,low
199,macroeconomic
200,main
201,mainly
202,majority
203,make
204,many
205,market
206,matter
207,may
208,maybe
209,mechanism
210,mention
211,mid
212,might
213,miller
214,miss
215,money
216,month
217,mostly
218,mr
219,much
220,must
221,nation
222,national
223,ndiaye
224,need
225,neighbor
226,niaye
227,note
228,notice
229,november
230,october
231,oh
232,one
233,onion
234,operator
235,opportunity
236,option
237,order
238,organization
239,orient
240,overheard
241,paddy
242,pay
243,payoff
244,peanut
245,people
246,perhaps
247,period
248,pick
249,picture
250,plant
251,planting
252,plot
253,plus
254,podor
255,policy
256,politic
257,potato
258,power
259,prefer
260,pressure
261,prevent
262,price
263,priority
264,private
265,probably
266,problem
267,processor
268,produce
269,producer
270,production
271,profit
272,profitable
273,promotion
274,protect
275,quality
276,quite
277,rain
278,rainy
279,rate
280,real
281,really
282,regardless
283,region
284,regular
285,regulation
286,reimbursement
287,remain
288,remnant
289,require
290,result
291,rice
292,right
293,salad
294,saving
295,say
296,scale
297,scandinavia
298,science
299,season
300,sector
301,see
302,seed
303,sell
304,senegal
305,sept
306,sheep
307,shield
308,similar
309,six
310,social
311,soil
312,someone
313,something
314,sometimes
315,space
316,specialize
317,squash
318,srv
319,ssf
320,st
321,start
322,still
323,stop
324,storage
325,store
326,stuff
327,subsidize
328,subsistence
329,supply
330,support
331,suppose
332,surplus
333,switch
334,system
335,table
336,tax
337,term
338,thing
339,think
340,third
341,though
342,tie
343,time
344,tomato
345,tomatoe
346,towards
347,trader
348,twice
349,two
350,type
351,unfair
352,unless
353,use
354,usually
355,value
356,variety
357,vary
358,vc
359,vegetable
360,want
361,water
362,weed
363,well
364,whether
365,wide
366,within
367,without
368,work
369,world
370,would
371,year
372,yes
373,zone
